Model,location,horizon,reference_date,target_end_date,wis,baseline,wis_baseline,wis_ratio
CEPH-Rtrend_fluH,19,0,2024-02-24,2024-02-24,18.328695652173863,FluSight-baseline,24.76262173913044,0.7401758927331371
CEPH-Rtrend_fluH,20,0,2024-02-24,2024-02-24,80.55217391304348,FluSight-baseline,77.5437043478261,1.038797083406317
CEPH-Rtrend_fluH,21,0,2024-02-24,2024-02-24,12.360443478260859,FluSight-baseline,6.491243478260867,1.9041719078410637
CEPH-Rtrend_fluH,22,0,2024-02-24,2024-02-24,26.019565217391307,FluSight-baseline,11.133345652173913,2.337084110229766
CEPH-Rtrend_fluH,23,0,2024-02-24,2024-02-24,7.291739130434783,FluSight-baseline,11.759469565217392,0.6200738128531381
CEPH-Rtrend_fluH,24,0,2024-02-24,2024-02-24,7.121739130434783,FluSight-baseline,3.830173913043478,1.8593774831430065
CEPH-Rtrend_fluH,25,0,2024-02-24,2024-02-24,32.426530434782606,FluSight-baseline,33.02471739130436,0.9818866896139055
CEPH-Rtrend_fluH,26,0,2024-02-24,2024-02-24,132.82782608695652,FluSight-baseline,175.51704347826092,0.7567802160672119
CEPH-Rtrend_fluH,27,0,2024-02-24,2024-02-24,7.359130434782609,FluSight-baseline,8.991691304347826,0.81843673072097
CEPH-Rtrend_fluH,28,0,2024-02-24,2024-02-24,5.699565217391306,FluSight-baseline,14.517182608695652,0.3926082195850675
CEPH-Rtrend_fluH,29,0,2024-02-24,2024-02-24,112.20375000000003,FluSight-baseline,94.6391304347826,1.1855957412597053
CEPH-Rtrend_fluH,30,0,2024-02-24,2024-02-24,6.751304347826087,FluSight-baseline,1.0475369565217392,6.444931900296139
CEPH-Rtrend_fluH,31,0,2024-02-24,2024-02-24,22.25826086956522,FluSight-baseline,20.423178260869573,1.0898529398928878
CEPH-Rtrend_fluH,32,0,2024-02-24,2024-02-24,12.856521739130434,FluSight-baseline,5.578004347826088,2.304860472928996
CEPH-Rtrend_fluH,33,0,2024-02-24,2024-02-24,3.2517391304347827,FluSight-baseline,5.209408695652175,0.6242050337015633
