location,reference_date,decrease,increase,stable
22,2025-01-18,0.7709121479613283,0.14207650273224037,0.0870113493064312
22,2025-02-01,0.811217510259918,0.0601915184678522,0.1285909712722298
22,2025-02-08,1.0,0.0,0.0
22,2025-02-15,0.8307644882860665,0.0779901356350184,0.0912453760789149
22,2025-02-22,0.91547146780592,0.0112908147696063,0.0732377174244736
22,2025-03-01,0.967390375767339,0.008664982486971956,0.0239446417456888
22,2025-03-08,0.9682994928678607,0.008433208607950741,0.0232672985241884
22,2025-03-22,0.9345541401273885,0.0168152866242037,0.0486305732484076
23,2023-10-14,0.0,0.0419426048565121,0.958057395143488
23,2023-10-21,0.0,0.0,1.0
23,2023-10-28,0.0,0.0,1.0
23,2023-11-04,0.0,0.0380952380952381,0.961904761904762
23,2023-11-11,0.0,0.0057142857142857,0.9942857142857144
23,2023-11-18,0.0,0.0,1.0
23,2023-11-25,0.0,0.0,1.0
23,2023-12-02,0.0448484848484848,0.006060606060606,0.9490909090909092
23,2023-12-09,0.0,0.0293906810035842,0.9706093189964158
23,2023-12-16,0.0,0.16510379615857199,0.8348962038414279
23,2023-12-23,0.0003053435114503,0.3529262086513994,0.6467684478371502
23,2023-12-30,0.0,0.1870674589304438,0.8129325410695561
23,2024-01-06,0.0122525918944392,0.5067546339930882,0.4809927741124725
23,2024-01-13,0.017463685327240002,0.5891953647788476,0.3933409498939122
23,2024-01-20,0.0,0.2929292929292929,0.7070707070707071
23,2024-01-27,0.0164005179110919,0.0720759602934828,0.9115235217954252
23,2024-02-03,0.0280245214562742,0.0809458275991492,0.8910296509445765
23,2024-02-10,0.5132743362831858,0.0088495575221238,0.4778761061946903
23,2024-02-17,0.7726132312161627,0.0105638452396672,0.21682292354417
23,2024-02-24,0.9151670951156812,0.0,0.0848329048843187
23,2024-03-02,0.8583690987124464,0.0,0.1416309012875536
23,2024-03-09,0.806,0.0,0.194
23,2024-03-16,0.459,0.0,0.541
23,2024-03-23,0.402,0.029,0.569
23,2024-03-30,0.098,0.0,0.902
23,2024-04-06,0.024,0.0,0.976
